name,category,price,originalPrice,stock,weight,image,description,tags,rating,reviews,inStock,hasVariations,variations
"Pure Cotton Saree","cotton",1299,1999,35,"550g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Comfortable pure cotton saree perfect for daily wear. Breathable fabric with beautiful prints.","casual;everyday;cotton",4.3,67,true,false,""
"Traditional Banarasi Silk Saree","banarasi",4999,7999,0,"850g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Handwoven Banarasi silk saree with intricate zari work. Perfect for weddings and special occasions.","wedding;festive;silk;traditional",4.9,234,true,true,"Red:8:0:|Royal Blue:12:500:|Golden:5:1000:|Green:10:0:"
"Elegant Silk Saree","silk",3499,5499,0,"700g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Premium quality silk saree with rich texture and elegant design.","festive;party;silk",4.6,145,true,true,"Maroon:15:0:|Navy Blue:10:0:|Peacock Green:8:200:|Wine:12:0:"
"Designer Wedding Saree","designer",8999,12999,0,"900g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Luxury designer saree with heavy embroidery and stone work. Make your special day memorable.","wedding;premium;designer;bridal",4.8,189,true,true,"Bridal Red:4:0:https://images.unsplash.com/photo-1583391733956-6c78276477e5|Pink:6:500:https://images.unsplash.com/photo-1617627143750-d86bc21e42bb|Cream:5:1000:https://images.unsplash.com/photo-1610030469983-98e550d6193c"
"Kanjivaram Silk Saree","kanjivaram",5999,8999,0,"800g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Authentic Kanjivaram silk saree with traditional temple border and rich pallu.","wedding;traditional;silk;kanjivaram",4.7,178,true,true,"Red:10:0:|Purple:8:0:|Green:12:0:|Orange:6:500:"
"Casual Printed Saree","casual",899,1499,50,"450g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Light and comfortable printed saree ideal for casual outings and office wear.","casual;everyday;printed",4.2,92,true,false,""
"Party Wear Georgette Saree","party",2799,4299,0,"500g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Stunning georgette saree with sequin work perfect for parties and celebrations.","party;festive;georgette",4.5,156,true,true,"Black:15:0:|Navy:10:0:|Wine:12:200:|Emerald:8:300:"
"Half Saree for Wedding","half-saree",3999,5999,20,"600g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Beautiful half saree with designer blouse and dupatta. Perfect for wedding functions.","wedding;traditional;half-saree",4.6,123,true,false,""
"Soft Silk Saree","silk",2999,4499,0,"650g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Soft silk saree with contrast border. Comfortable yet elegant for any occasion.","festive;silk;soft-silk",4.4,201,true,true,"Pink:20:0:|Blue:18:0:|Green:15:0:|Yellow:12:0:|Orange:10:0:"
"Chanderi Cotton Silk Saree","cotton",2499,3999,0,"550g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Elegant Chanderi cotton silk saree with traditional motifs and zari border.","festive;traditional;chanderi",4.5,167,true,true,"White:12:0:|Beige:10:0:|Light Blue:8:200:|Mint:15:0:"
"Net Saree with Embroidery","designer",4499,6999,25,"400g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Designer net saree with heavy embroidery work. Lightweight and glamorous.","party;designer;embroidered",4.7,143,true,false,""
"Art Silk Saree","silk",1799,2999,0,"600g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Affordable art silk saree with beautiful prints and rich colors.","casual;festive;art-silk",4.3,189,true,true,"Red:25:0:|Blue:30:0:|Green:20:0:|Pink:28:0:|Purple:22:0:|Yellow:18:0:"
"Patola Print Saree","patola",3299,4999,18,"700g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Traditional Patola print saree with vibrant colors and intricate patterns.","festive;traditional;patola",4.6,134,true,false,""
"Tussar Silk Saree","silk",3799,5499,0,"750g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Elegant Tussar silk saree with natural texture and ethnic appeal.","festive;silk;tussar;traditional",4.5,178,true,true,"Mustard:10:0:|Brown:8:0:|Rust:12:0:|Olive:6:200:"
"Chiffon Saree for Party","party",2299,3499,0,"350g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Lightweight chiffon saree with border work. Easy to drape and carry.","party;casual;chiffon",4.4,112,true,true,"Black:20:0:|Red:15:0:|Navy:18:0:|Maroon:12:100:"
"Bridal Lehenga Saree","designer",12999,17999,8,"1000g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Heavy designer bridal lehenga saree with intricate embroidery and stone work.","wedding;bridal;premium;designer",4.9,267,true,false,""
"Linen Saree","cotton",1599,2299,40,"500g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Comfortable linen saree perfect for summer. Breathable and stylish.","casual;everyday;linen;summer",4.2,98,true,false,""
"Organza Saree with Sequins","party",3499,5299,0,"400g","https://images.unsplash.com/photo-1617627143750-d86bc21e42bb","Gorgeous organza saree with sequin work and embroidered border.","party;festive;organza",4.6,145,true,true,"Gold:8:0:|Silver:10:0:|Rose Gold:6:500:"
"Maheshwari Silk Saree","silk",2799,4199,0,"600g","https://images.unsplash.com/photo-1610030469983-98e550d6193c","Traditional Maheshwari silk saree with reversible border and zari stripes.","festive;traditional;maheshwari",4.5,156,true,true,"Maroon:12:0:|Green:10:0:|Blue:15:0:|Purple:8:0:"
"Bandhani Saree","traditional",2499,3999,22,"550g","https://images.unsplash.com/photo-1583391733956-6c78276477e5","Authentic Bandhani tie-dye saree from Rajasthan. Traditional and vibrant.","festive;traditional;bandhani",4.7,189,true,false,""
